Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Wingspan diff
Quan Prowell,2008,78.75,225.5,82.5,3.75
Shaun Pruitt,2008,80.25,242.2,85.0,4.75
Anthony Randolph,2008,81.0,197.0,87.0,6.0
Charles Rhodes,2008,79.25,244.0,83.25,4.0
John Riek,2008,82.5,237.0,92.75,10.25
Brian Roberts,2008,72.25,173.0,73.25,1.0
Russell Robinson,2008,72.5,196.0,80.0,7.5
Richard Roby,2008,76.25,203.0,81.75,5.5
Derrick Rose,2008,73.5,196.0,80.0,6.5
Sean Singletary,2008,71.0,183.8,76.5,5.5
Ronald Steele,2008,72.25,183.5,76.25,4.0
Mike Taylor,2008,72.75,166.2,79.25,6.5
Bryce Taylor,2008,74.75,210.0,81.0,6.25
Mark Tyndale,2008,74.75,217.0,83.0,8.25
Robert Vaden,2008,75.5,199.0,80.0,4.5
Deron Washington,2008,77.25,198.5,81.0,3.75
Sonny Weems,2008,76.0,193.0,82.0,6.0
Russell Westbrook,2008,74.25,192.0,79.75,5.5
Reggie Williams,2008,75.25,199.0,81.25,6.0
Jeff Adrien,2009,77.25,236.2,86.0,8.75
Jeff Ayres,2009,80.75,239.6,85.0,4.25
Rodrigue Beaubois,2009,73.25,182.4,81.75,8.5
DeJuan Blair,2009,77.25,276.6,86.0,8.75
Derrick Brown,2009,79.5,224.6,86.5,7.0
Chase Budinger,2009,78.25,206.4,79.0,0.75
DeMarre Carroll,2009,78.25,207.2,82.0,3.75
Omri Casspi,2009,79.75,211.2,81.25,1.5
Dionte Christmas,2009,76.25,210.8,81.0,4.75
Earl Clark,2009,80.5,228.4,86.5,6.0
Darren Collison,2009,72.25,166.2,75.0,2.75
Dante Cunningham,2009,79.0,227.4,83.0,4.0
Stephen Curry,2009,74.0,181.0,75.5,1.5
Austin Daye,2009,81.75,191.8,86.75,5.0
DeMar DeRozan,2009,77.5,211.2,81.0,3.5
Toney Douglas,2009,73.0,183.4,78.0,5.0
Wayne Ellington,2009,76.25,202.4,78.5,2.25
Tyreke Evans,2009,76.0,220.6,83.25,7.25
Jonny Flynn,2009,71.25,195.6,76.0,4.75
Taj Gibson,2009,80.5,214.4,88.0,7.5
Danny Green,2009,77.25,208.0,82.0,4.75
Blake Griffin,2009,80.5,248.4,83.25,2.75
Tyler Hansbrough,2009,80.25,234.2,83.5,3.25
James Harden,2009,76.0,222.0,82.75,6.75
Gerald Henderson,2009,76.0,214.6,82.25,6.25
Josh Heytvelt,2009,82.0,246.2,85.25,3.25
Jordan Hill,2009,81.25,232.4,85.5,4.25
Jrue Holiday,2009,75.25,199.0,79.0,3.75
Joe Ingles,2009,79.75,209.2,82.25,2.5
James Johnson,2009,79.0,257.2,84.75,5.75
Ty Lawson,2009,71.25,196.6,72.75,1.5
Eric Maynor,2009,74.25,163.6,74.5,0.25
Jack McClinton,2009,71.75,185.2,74.5,2.75
Jerel McNeal,2009,73.5,190.4,79.25,5.75
Jodie Meeks,2009,75.0,211.4,76.5,1.5
