Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Rick Jackson,2011,80.25,241.8,86.0,SYRA,35,35.6,13.1,5.5,9.4,0.588,0.0,0.0,0.0,2.1,3.9,0.533,3.4,6.9,10.3,2.2,1.3,2.5,2.1,2.0
Charles Jenkins,2011,73.5,216.4,79.5,HOF,33,37.3,22.6,7.5,14.6,0.517,2.0,4.8,0.42,5.5,6.7,0.824,0.5,2.8,3.4,4.8,1.7,0.7,2.2,2.0
JaJuan Johnson,2011,81.0,219.8,86.0,PURD,34,35.4,20.5,7.6,15.3,0.494,0.4,1.5,0.294,5.0,6.1,0.809,2.4,6.1,8.6,1.0,0.9,2.3,1.6,1.6
Cory Joseph,2011,74.0,186.2,77.5,TEXAS,36,32.4,10.4,3.8,8.9,0.422,1.4,3.5,0.413,1.4,2.0,0.699,0.6,2.9,3.6,3.0,1.0,0.3,1.5,1.8
Brandon Knight,2011,73.5,176.8,78.75,UK,38,35.9,17.3,5.7,13.5,0.423,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2
Malcolm Lee,2011,76.0,198.2,81.75,UCLA,33,33.1,13.1,4.3,9.8,0.437,1.2,4.0,0.295,3.4,4.4,0.778,0.7,2.4,3.1,2.0,0.7,0.2,1.7,2.4
Kawhi Leonard,2011,78.0,227.4,87.0,SDSU,36,32.6,15.5,5.9,13.2,0.444,0.7,2.4,0.291,3.1,4.0,0.759,3.1,7.5,10.6,2.5,1.4,0.6,2.1,2.5
Travis Leslie,2011,75.0,205.0,82.5,UGA,33,32.2,14.4,5.4,10.9,0.492,0.4,1.3,0.302,3.3,4.1,0.801,3.2,4.0,7.2,2.9,1.2,0.6,2.2,1.9
Jon Leuer,2011,82.0,223.2,84.0,UWISC,34,33.5,18.3,6.7,14.2,0.47,1.6,4.3,0.37,3.3,3.9,0.843,1.7,5.6,7.2,1.6,0.5,0.9,1.6,2.2
David Lighty,2011,76.75,216.2,80.0,OSU,37,32.1,12.1,4.1,8.8,0.468,1.4,3.2,0.429,2.4,3.8,0.627,1.3,2.7,4.0,3.3,1.5,0.5,1.6,1.9
Shelvin Mack,2011,73.0,209.0,79.5,BTLR,38,32.1,16.0,5.3,13.0,0.408,2.3,6.5,0.354,3.2,4.1,0.769,0.7,3.8,4.5,3.4,0.8,0.1,2.4,1.7
Demetri McCamey,2011,73.75,204.0,78.25,ILL,34,33.4,14.6,4.9,10.8,0.452,2.2,4.8,0.451,2.7,3.7,0.724,0.5,2.9,3.4,6.1,1.0,0.2,2.9,2.0
E'Twaun Moore,2011,74.5,191.4,81.5,PURD,34,33.9,18.0,6.5,14.5,0.447,2.1,5.1,0.4,2.9,4.1,0.709,1.5,3.6,5.1,3.2,1.2,0.5,1.8,2.1
Marcus Morris,2011,79.0,229.6,82.0,KU,38,28.3,17.2,6.3,11.1,0.57,0.7,2.0,0.342,3.9,5.7,0.688,2.6,5.0,7.6,1.6,0.8,0.6,1.8,2.6
Markieff Morris,2011,79.75,240.8,82.75,KU,38,24.4,13.6,5.1,8.7,0.589,0.7,1.6,0.424,2.7,4.0,0.673,2.7,5.6,8.3,1.4,0.8,1.1,2.1,2.8
Darius Morris,2011,75.25,190.0,79.5,MICH,35,34.8,15.0,5.7,11.7,0.489,0.5,1.8,0.25,3.1,4.3,0.715,0.9,3.1,4.0,6.7,1.0,0.0,2.9,2.1
Chandler Parsons,2011,80.75,221.2,81.5,FLA,36,34.1,11.3,4.3,9.0,0.48,1.2,3.3,0.368,1.5,2.7,0.557,2.1,5.7,7.8,3.8,0.9,0.4,2.3,1.9
Iman Shumpert,2011,76.25,221.8,81.5,GT,31,32.0,17.3,5.7,14.1,0.406,1.4,4.9,0.278,4.5,5.6,0.806,1.7,4.2,5.9,3.5,2.7,0.2,2.3,2.8
Kyle Singler,2011,79.5,228.0,82.1,DUKE,37,34.8,16.9,5.9,13.8,0.43,1.7,5.2,0.321,3.4,4.2,0.806,2.4,4.5,6.8,1.6,0.9,0.3,1.9,2.6
Chris Singleton,2011,79.75,230.2,85.0,FLAST,28,29.1,13.1,4.4,10.2,0.434,1.3,3.4,0.368,3.0,4.5,0.667,2.1,4.8,6.8,1.2,2.0,1.5,2.2,3.2
Jamie Skeen,2011,78.5,241.6,85.25,VCU,39,31.9,15.7,5.1,9.8,0.518,0.9,2.2,0.419,4.6,6.4,0.719,2.4,4.9,7.3,1.6,0.6,1.0,1.7,2.0
Nolan Smith,2011,73.5,187.6,77.5,DUKE,37,34.0,20.6,7.0,15.4,0.458,1.5,4.4,0.35,5.1,6.2,0.813,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
Malcolm Thomas,2011,79.5,223.0,84.5,SDSU,37,30.4,11.4,4.3,8.0,0.536,0.1,0.3,0.167,2.8,4.4,0.642,2.9,5.2,8.1,2.3,0.5,2.0,2.1,2.3
